Alton B. Parker,Parker,Alton,B.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
William H. Taft,Taft,William,H.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woodrow Wilson,Wilson,Woodrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,435,277,,,,,,,,,,,,,,,,,,,,,,,,,,
Charles E. Hughes,Hughes,Charles,E.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254,,,,,,,,,,,,,,,,,,,,,,,,,,
Warren G. Harding,Harding,Warren,G.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404,,,,,,,,,,,,,,,,,,,,,,,,,
James M. Cox,Cox,James,M.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127,,,,,,,,,,,,,,,,,,,,,,,,,
Calvin Coolidge,Coolidge,Calvin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,382,,,,,,,,,,,,,,,,,,,,,,,,
John W. Davis,Davis,John,W.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136,,,,,,,,,,,,,,,,,,,,,,,,
Robert M. La Follette,La Follette,Robert,M.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,
Herbert C. Hoover,Hoover,Herbert,C.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,444,59,,,,,,,,,,,,,,,,,,,,,,
Alfred E. Smith,Smith,Alfred,E.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,,,,,,,,,,,,,,,,,,,,,,,
Franklin D. Roosevelt,Roosevelt,Franklin,D.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,472,523,449,432,,,,,,,,,,,,,,,,,,,
Alfred M. Landon,Landon,Alfred,M.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,
Wendell L. Willkie,Willkie,Wendell,L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,,,,,,,,,,,,,,,,,,,,
Thomas E. Dewey,Dewey,Thomas,E.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,189,,,,,,,,,,,,,,,,,,
Harry S. Truman,Truman,Harry,S.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303,,,,,,,,,,,,,,,,,,
